"Report Name: My Account Performance Report"
"Report Time: 10/1/2020,11/7/2020"
"Time Zone: Various"
"Last Completed Available Day: 11/6/2020 9:05:00 PM (GMT)"
"Last Completed Available Hour: 11/6/2020 9:05:00 PM (GMT)"
"Report Aggregation: Daily"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 501"

"TimePeriod","AccountNumber","AccountName","Impressions","Clicks","Spend"
"2020-10-06","F107MVC9","Lenovo Ireland Direct","536","44","12.86"
"2020-10-06","F107P4UT","Lenovo UK Direct","11078","434","328.11"
"2020-10-06","X0006AXW","Bing Lenovo NL","5079","210","123.68"
"2020-10-06","X000XGAU","Bing Lenovo DK","555","60","18.74"
"2020-10-06","X7004130","Lenovo Austria Direct","1549","97","21.12"
"2020-10-06","X7356537","Lenovo Germany Direct","5496","470","290.21"
"2020-10-06","X8349003","Lenovo France Direct","12854","696","729.62"
"2020-10-07","B004295N","Lenovo Belgium","679","91","92.02"
"2020-10-07","B004ETLE","Lenovo Italy","4213","297","82.67"
"2020-10-07","B004SUHL","Lenovo Norway","335","25","3.48"
"2020-10-07","B004V7BM","Lenovo Spain","10169","724","290.39"
"2020-10-07","F1071RW6","Lenovo Switzerland Direct","1135","93","78.69"
"2020-10-07","F1074ELB","Lenovo Finland Direct","343","34","14.01"
"2020-10-07","F107DTZT","Lenovo Sweden Direct","1204","107","34.63"
"2020-10-07","F107MVC9","Lenovo Ireland Direct","551","55","14.23"
"2020-10-07","F107P4UT","Lenovo UK Direct","10738","454","320.81"
"2020-10-07","X0006AXW","Bing Lenovo NL","5013","262","135.74"
"2020-10-07","X000XGAU","Bing Lenovo DK","478","55","13.02"
"2020-10-07","X7004130","Lenovo Austria Direct","1675","130","23.12"
"2020-10-07","X7356537","Lenovo Germany Direct","5294","553","296.07"
"2020-10-07","X8349003","Lenovo France Direct","12819","673","684.42"
"2020-10-08","B004295N","Lenovo Belgium","680","96","119.63"
"2020-10-08","B004ETLE","Lenovo Italy","3846","280","85.25"
"2020-10-08","B004SUHL","Lenovo Norway","275","29","5.60"
"2020-10-08","B004V7BM","Lenovo Spain","9548","719","316.89"
"2020-10-08","F1071RW6","Lenovo Switzerland Direct","976","70","54.25"
"2020-10-08","F1074ELB","Lenovo Finland Direct","369","22","3.95"
"2020-10-08","F107DTZT","Lenovo Sweden Direct","1089","82","31.38"
"2020-10-08","F107MVC9","Lenovo Ireland Direct","466","57","21.30"
"2020-10-08","F107P4UT","Lenovo UK Direct","10832","368","317.88"
"2020-10-08","X0006AXW","Bing Lenovo NL","4905","314","167.37"
"2020-10-08","X000XGAU","Bing Lenovo DK","515","56","19.39"
"2020-10-08","X7004130","Lenovo Austria Direct","1427","93","29.62"
"2020-10-08","X7356537","Lenovo Germany Direct","4226","495","269.06"
"2020-10-08","X8349003","Lenovo France Direct","11406","686","722.39"
"2020-10-09","B004295N","Lenovo Belgium","554","87","92.66"
"2020-10-09","B004ETLE","Lenovo Italy","3389","283","93.19"
"2020-10-09","B004SUHL","Lenovo Norway","243","24","4.06"
"2020-10-09","B004V7BM","Lenovo Spain","10623","660","309.73"
"2020-10-09","F1071RW6","Lenovo Switzerland Direct","1018","83","64.14"
"2020-10-09","F1074ELB","Lenovo Finland Direct","335","31","9.14"
"2020-10-09","F107DTZT","Lenovo Sweden Direct","992","60","24.63"
"2020-10-09","F107MVC9","Lenovo Ireland Direct","571","49","16.18"
"2020-10-09","F107P4UT","Lenovo UK Direct","10599","494","319.77"
"2020-10-09","X0006AXW","Bing Lenovo NL","3776","200","122.01"
"2020-10-09","X000XGAU","Bing Lenovo DK","436","50","16.49"
"2020-10-09","X7004130","Lenovo Austria Direct","1229","95","24.38"
"2020-10-09","X7356537","Lenovo Germany Direct","4464","409","219.62"
"2020-10-09","X8349003","Lenovo France Direct","10757","638","722.30"
"2020-10-10","B004295N","Lenovo Belgium","415","63","53.18"
"2020-10-10","B004ETLE","Lenovo Italy","871","137","45.29"
"2020-10-10","B004SUHL","Lenovo Norway","136","11","1.62"
"2020-10-10","B004V7BM","Lenovo Spain","8110","547","251.85"
"2020-10-10","F1071RW6","Lenovo Switzerland Direct","690","61","48.58"
"2020-10-10","F1074ELB","Lenovo Finland Direct","200","9","1.04"
"2020-10-10","F107DTZT","Lenovo Sweden Direct","673","57","17.48"
"2020-10-10","F107MVC9","Lenovo Ireland Direct","398","48","14.89"
"2020-10-10","F107P4UT","Lenovo UK Direct","3954","265","264.44"
"2020-10-10","X0006AXW","Bing Lenovo NL","2336","123","75.78"
"2020-10-10","X000XGAU","Bing Lenovo DK","350","36","13.06"
"2020-10-10","X7004130","Lenovo Austria Direct","896","63","17.32"
"2020-10-10","X7356537","Lenovo Germany Direct","3067","324","149.58"
"2020-10-10","X8349003","Lenovo France Direct","9211","604","539.89"
"2020-10-11","B004295N","Lenovo Belgium","377","73","57.00"
"2020-10-11","B004ETLE","Lenovo Italy","1185","180","58.85"
"2020-10-11","B004SUHL","Lenovo Norway","136","11","1.61"
"2020-10-11","B004V7BM","Lenovo Spain","7874","471","228.57"
"2020-10-11","F1071RW6","Lenovo Switzerland Direct","702","61","57.63"
"2020-10-11","F1074ELB","Lenovo Finland Direct","238","21","9.64"
"2020-10-11","F107DTZT","Lenovo Sweden Direct","729","51","13.09"
"2020-10-11","F107MVC9","Lenovo Ireland Direct","380","36","7.48"
"2020-10-11","F107P4UT","Lenovo UK Direct","4386","327","264.02"
"2020-10-11","X0006AXW","Bing Lenovo NL","2339","122","71.15"
"2020-10-11","X000XGAU","Bing Lenovo DK","291","22","4.32"
"2020-10-11","X7004130","Lenovo Austria Direct","1348","114","30.96"
"2020-10-11","X7356537","Lenovo Germany Direct","4041","438","182.13"
"2020-10-11","X8349003","Lenovo France Direct","9176","639","552.96"
"2020-10-12","B004295N","Lenovo Belgium","438","88","77.59"
"2020-10-12","B004ETLE","Lenovo Italy","3889","281","67.59"
"2020-10-12","B004SUHL","Lenovo Norway","265","43","11.56"
"2020-10-12","B004V7BM","Lenovo Spain","9126","590","280.57"
"2020-10-12","F1071RW6","Lenovo Switzerland Direct","1293","92","75.37"
"2020-10-12","F1074ELB","Lenovo Finland Direct","337","31","10.68"
"2020-10-12","F107DTZT","Lenovo Sweden Direct","842","55","20.24"
"2020-10-12","F107MVC9","Lenovo Ireland Direct","613","71","19.57"
"2020-10-12","F107P4UT","Lenovo UK Direct","9429","420","352.15"
"2020-10-12","X0006AXW","Bing Lenovo NL","2126","167","115.33"
"2020-10-12","X000XGAU","Bing Lenovo DK","385","34","10.65"
"2020-10-12","X7004130","Lenovo Austria Direct","1690","136","25.13"
"2020-10-12","X7356537","Lenovo Germany Direct","5091","450","145.92"
"2020-10-12","X8349003","Lenovo France Direct","11721","727","725.49"
"2020-10-13","B004295N","Lenovo Belgium","555","105","96.90"
"2020-10-13","B004ETLE","Lenovo Italy","4704","337","95.35"
"2020-10-13","B004SUHL","Lenovo Norway","236","11","2.51"
"2020-10-13","B004V7BM","Lenovo Spain","10767","772","303.53"
"2020-10-13","F1071RW6","Lenovo Switzerland Direct","1667","106","100.11"
"2020-10-13","F1074ELB","Lenovo Finland Direct","289","10","2.23"
"2020-10-13","F107DTZT","Lenovo Sweden Direct","900","63","19.07"
"2020-10-13","F107MVC9","Lenovo Ireland Direct","656","67","16.20"
"2020-10-13","F107P4UT","Lenovo UK Direct","9786","476","368.93"
"2020-10-13","X0006AXW","Bing Lenovo NL","1394","126","133.58"
"2020-10-13","X000XGAU","Bing Lenovo DK","384","38","10.25"
"2020-10-13","X7004130","Lenovo Austria Direct","1871","110","22.87"
"2020-10-13","X7356537","Lenovo Germany Direct","8651","693","297.67"
"2020-10-13","X8349003","Lenovo France Direct","11928","741","819.56"
"2020-10-14","B004295N","Lenovo Belgium","558","89","77.70"
"2020-10-14","B004ETLE","Lenovo Italy","4693","355","107.10"
"2020-10-14","B004SUHL","Lenovo Norway","305","23","4.50"
"2020-10-14","B004V7BM","Lenovo Spain","10463","764","314.22"
"2020-10-14","F1071RW6","Lenovo Switzerland Direct","1628","97","80.41"
"2020-10-14","F1074ELB","Lenovo Finland Direct","290","12","1.49"
"2020-10-14","F107DTZT","Lenovo Sweden Direct","849","53","19.14"
"2020-10-14","F107MVC9","Lenovo Ireland Direct","789","77","32.74"
"2020-10-14","F107P4UT","Lenovo UK Direct","9978","485","349.30"
"2020-10-14","X0006AXW","Bing Lenovo NL","1462","133","142.20"
"2020-10-14","X000XGAU","Bing Lenovo DK","519","39","7.99"
"2020-10-14","X7004130","Lenovo Austria Direct","2585","126","32.48"
"2020-10-14","X7356537","Lenovo Germany Direct","8941","682","240.71"
"2020-10-14","X8349003","Lenovo France Direct","11896","731","793.63"
"2020-10-15","B004295N","Lenovo Belgium","492","86","68.64"
"2020-10-15","B004ETLE","Lenovo Italy","4010","284","72.59"
"2020-10-15","B004SUHL","Lenovo Norway","224","36","10.59"
"2020-10-15","B004V7BM","Lenovo Spain","10695","717","314.56"
"2020-10-15","F1071RW6","Lenovo Switzerland Direct","1488","110","65.93"
"2020-10-15","F1074ELB","Lenovo Finland Direct","290","22","5.67"
"2020-10-15","F107DTZT","Lenovo Sweden Direct","787","59","17.12"
"2020-10-15","F107MVC9","Lenovo Ireland Direct","681","74","32.45"
"2020-10-15","F107P4UT","Lenovo UK Direct","10145","519","306.31"
"2020-10-15","X0006AXW","Bing Lenovo NL","1473","118","89.26"
"2020-10-15","X000XGAU","Bing Lenovo DK","312","36","8.45"
"2020-10-15","X7004130","Lenovo Austria Direct","1387","99","29.08"
"2020-10-15","X7356537","Lenovo Germany Direct","9974","682","279.15"
"2020-10-15","X8349003","Lenovo France Direct","10370","688","674.70"
"2020-10-16","B004295N","Lenovo Belgium","501","77","68.79"
"2020-10-16","B004ETLE","Lenovo Italy","3205","318","91.75"
"2020-10-16","B004SUHL","Lenovo Norway","225","12","3.24"
"2020-10-16","B004V7BM","Lenovo Spain","7793","602","231.05"
"2020-10-16","F1071RW6","Lenovo Switzerland Direct","1430","83","56.48"
"2020-10-16","F1074ELB","Lenovo Finland Direct","275","29","4.45"
"2020-10-16","F107DTZT","Lenovo Sweden Direct","1013","73","19.28"
"2020-10-16","F107MVC9","Lenovo Ireland Direct","591","43","22.40"
"2020-10-16","F107P4UT","Lenovo UK Direct","9138","494","296.72"
"2020-10-16","X0006AXW","Bing Lenovo NL","1087","88","58.60"
"2020-10-16","X000XGAU","Bing Lenovo DK","352","33","7.43"
"2020-10-16","X7004130","Lenovo Austria Direct","1971","112","28.32"
"2020-10-16","X7356537","Lenovo Germany Direct","9749","712","290.26"
"2020-10-16","X8349003","Lenovo France Direct","9952","633","672.86"
"2020-10-17","B004295N","Lenovo Belgium","363","47","35.12"
"2020-10-17","B004ETLE","Lenovo Italy","1112","200","54.32"
"2020-10-17","B004SUHL","Lenovo Norway","250","12","3.46"
"2020-10-17","B004V7BM","Lenovo Spain","7496","469","198.93"
"2020-10-17","F1071RW6","Lenovo Switzerland Direct","811","52","28.58"
"2020-10-17","F1074ELB","Lenovo Finland Direct","270","28","6.66"
"2020-10-17","F107DTZT","Lenovo Sweden Direct","703","42","13.37"
"2020-10-17","F107MVC9","Lenovo Ireland Direct","595","56","19.94"
"2020-10-17","F107P4UT","Lenovo UK Direct","5048","401","245.02"
"2020-10-17","X0006AXW","Bing Lenovo NL","983","99","69.29"
"2020-10-17","X000XGAU","Bing Lenovo DK","239","19","4.27"
"2020-10-17","X7004130","Lenovo Austria Direct","1410","65","18.27"
"2020-10-17","X7356537","Lenovo Germany Direct","7914","551","148.35"
"2020-10-17","X8349003","Lenovo France Direct","8464","547","484.12"
"2020-10-18","B004295N","Lenovo Belgium","356","85","58.34"
"2020-10-18","B004ETLE","Lenovo Italy","1170","196","57.25"
"2020-10-18","B004SUHL","Lenovo Norway","198","15","1.52"
"2020-10-18","B004V7BM","Lenovo Spain","7173","493","225.14"
"2020-10-18","F1071RW6","Lenovo Switzerland Direct","822","51","36.03"
"2020-10-18","F1074ELB","Lenovo Finland Direct","336","23","6.16"
"2020-10-18","F107DTZT","Lenovo Sweden Direct","618","42","17.07"
"2020-10-18","F107MVC9","Lenovo Ireland Direct","508","34","23.27"
"2020-10-18","F107P4UT","Lenovo UK Direct","4641","404","235.50"
"2020-10-18","X0006AXW","Bing Lenovo NL","872","94","59.67"
"2020-10-18","X000XGAU","Bing Lenovo DK","294","29","7.99"
"2020-10-18","X7004130","Lenovo Austria Direct","1611","85","16.73"
"2020-10-18","X7356537","Lenovo Germany Direct","9550","737","203.59"
"2020-10-18","X8349003","Lenovo France Direct","7281","550","476.62"
"2020-10-19","B004295N","Lenovo Belgium","617","82","84.67"
"2020-10-19","B004ETLE","Lenovo Italy","3127","361","85.30"
"2020-10-19","B004SUHL","Lenovo Norway","236","19","3.56"
"2020-10-19","B004V7BM","Lenovo Spain","9473","685","249.99"
"2020-10-19","F1071RW6","Lenovo Switzerland Direct","1844","114","77.91"
"2020-10-19","F1074ELB","Lenovo Finland Direct","328","32","17.71"
"2020-10-19","F107DTZT","Lenovo Sweden Direct","863","73","25.70"
"2020-10-19","F107MVC9","Lenovo Ireland Direct","907","75","43.28"
"2020-10-19","F107P4UT","Lenovo UK Direct","9630","532","317.92"
"2020-10-19","X0006AXW","Bing Lenovo NL","1357","117","93.65"
"2020-10-19","X000XGAU","Bing Lenovo DK","492","34","10.04"
"2020-10-19","X7004130","Lenovo Austria Direct","2105","120","22.54"
"2020-10-19","X7356537","Lenovo Germany Direct","11311","836","309.20"
"2020-10-19","X8349003","Lenovo France Direct","9860","648","633.17"
"2020-10-20","B004295N","Lenovo Belgium","542","94","93.33"
"2020-10-20","B004ETLE","Lenovo Italy","3046","362","80.33"
"2020-10-20","B004SUHL","Lenovo Norway","290","27","4.94"
"2020-10-20","B004V7BM","Lenovo Spain","11102","799","356.13"
"2020-10-20","F1071RW6","Lenovo Switzerland Direct","1607","111","63.92"
