"Report Name: My Account Performance Report"
"Report Time: 10/1/2020,11/7/2020"
"Time Zone: Various"
"Last Completed Available Day: 11/6/2020 9:05:00 PM (GMT)"
"Last Completed Available Hour: 11/6/2020 9:05:00 PM (GMT)"
"Report Aggregation: Daily"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 501"

"TimePeriod","AccountNumber","AccountName","Impressions","Clicks","Spend"
"2020-10-28","B004SUHL","Lenovo Norway","269","23","2.06"
"2020-10-28","B004V7BM","Lenovo Spain","9819","698","280.33"
"2020-10-28","F1071RW6","Lenovo Switzerland Direct","1850","126","91.81"
"2020-10-28","F1074ELB","Lenovo Finland Direct","646","23","6.99"
"2020-10-28","F107DTZT","Lenovo Sweden Direct","1284","77","31.83"
"2020-10-28","F107MVC9","Lenovo Ireland Direct","786","67","15.37"
"2020-10-28","F107P4UT","Lenovo UK Direct","11128","558","304.24"
"2020-10-28","X0006AXW","Bing Lenovo NL","1639","103","70.59"
"2020-10-28","X000XGAU","Bing Lenovo DK","385","50","8.72"
"2020-10-28","X7004130","Lenovo Austria Direct","1730","95","28.65"
"2020-10-28","X8349003","Lenovo France Direct","11283","721","586.86"
"2020-10-29","B004295N","Lenovo Belgium","605","114","92.53"
"2020-10-29","B004ETLE","Lenovo Italy","3738","445","142.69"
"2020-10-29","B004SUHL","Lenovo Norway","187","21","1.85"
"2020-10-29","B004V7BM","Lenovo Spain","11668","769","352.25"
"2020-10-29","F1071RW6","Lenovo Switzerland Direct","1791","114","82.76"
"2020-10-29","F1074ELB","Lenovo Finland Direct","674","26","11.28"
"2020-10-29","F107DTZT","Lenovo Sweden Direct","910","68","27.55"
"2020-10-29","F107MVC9","Lenovo Ireland Direct","841","86","24.61"
"2020-10-29","F107P4UT","Lenovo UK Direct","11300","543","327.49"
"2020-10-29","X0006AXW","Bing Lenovo NL","1520","120","87.87"
"2020-10-29","X000XGAU","Bing Lenovo DK","446","52","13.51"
"2020-10-29","X7004130","Lenovo Austria Direct","1979","122","29.75"
"2020-10-29","X8349003","Lenovo France Direct","9917","654","504.76"
"2020-10-30","B004295N","Lenovo Belgium","578","122","88.76"
"2020-10-30","B004ETLE","Lenovo Italy","3534","407","102.55"
"2020-10-30","B004SUHL","Lenovo Norway","197","26","5.59"
"2020-10-30","B004V7BM","Lenovo Spain","12121","707","302.30"
"2020-10-30","F1071RW6","Lenovo Switzerland Direct","1802","112","82.89"
"2020-10-30","F1074ELB","Lenovo Finland Direct","448","24","17.09"
"2020-10-30","F107DTZT","Lenovo Sweden Direct","861","64","22.56"
"2020-10-30","F107MVC9","Lenovo Ireland Direct","756","55","23.19"
"2020-10-30","F107P4UT","Lenovo UK Direct","8821","508","302.24"
"2020-10-30","X0006AXW","Bing Lenovo NL","1055","91","75.26"
"2020-10-30","X000XGAU","Bing Lenovo DK","362","42","10.83"
"2020-10-30","X7004130","Lenovo Austria Direct","1487","85","21.00"
"2020-10-30","X8349003","Lenovo France Direct","11101","811","582.44"
"2020-10-31","B004295N","Lenovo Belgium","448","90","70.91"
"2020-10-31","B004ETLE","Lenovo Italy","1382","288","102.41"
"2020-10-31","B004SUHL","Lenovo Norway","141","17","1.50"
"2020-10-31","B004V7BM","Lenovo Spain","7699","541","220.55"
"2020-10-31","F1071RW6","Lenovo Switzerland Direct","943","80","51.91"
"2020-10-31","F1074ELB","Lenovo Finland Direct","248","12","2.11"
"2020-10-31","F107DTZT","Lenovo Sweden Direct","735","34","13.81"
"2020-10-31","F107MVC9","Lenovo Ireland Direct","685","56","17.05"
"2020-10-31","F107P4UT","Lenovo UK Direct","5220","393","198.06"
"2020-10-31","X0006AXW","Bing Lenovo NL","1034","61","49.29"
"2020-10-31","X000XGAU","Bing Lenovo DK","289","48","26.04"
"2020-10-31","X7004130","Lenovo Austria Direct","1207","61","11.49"
"2020-10-31","X8349003","Lenovo France Direct","9222","747","407.25"
"2020-11-01","B004295N","Lenovo Belgium","473","97","78.23"
"2020-11-01","B004ETLE","Lenovo Italy","1461","263","80.72"
"2020-11-01","B004SUHL","Lenovo Norway","133","21","3.00"
"2020-11-01","B004V7BM","Lenovo Spain","7931","511","210.50"
"2020-11-01","F1071RW6","Lenovo Switzerland Direct","1183","120","80.74"
"2020-11-01","F1074ELB","Lenovo Finland Direct","283","19","8.29"
"2020-11-01","F107DTZT","Lenovo Sweden Direct","847","57","24.60"
"2020-11-01","F107MVC9","Lenovo Ireland Direct","639","83","33.95"
"2020-11-01","F107P4UT","Lenovo UK Direct","5822","443","276.43"
"2020-11-01","X0006AXW","Bing Lenovo NL","890","77","46.42"
"2020-11-01","X000XGAU","Bing Lenovo DK","267","30","10.03"
"2020-11-01","X7004130","Lenovo Austria Direct","1568","85","22.47"
"2020-11-01","X8349003","Lenovo France Direct","10023","748","420.61"
"2020-11-02","B004295N","Lenovo Belgium","643","121","97.34"
"2020-11-02","B004ETLE","Lenovo Italy","3323","427","128.83"
"2020-11-02","B004SUHL","Lenovo Norway","249","33","4.32"
"2020-11-02","B004V7BM","Lenovo Spain","9977","681","327.51"
"2020-11-02","F1071RW6","Lenovo Switzerland Direct","1846","120","86.78"
"2020-11-02","F1074ELB","Lenovo Finland Direct","356","36","18.21"
"2020-11-02","F107DTZT","Lenovo Sweden Direct","1254","90","36.56"
"2020-11-02","F107MVC9","Lenovo Ireland Direct","1005","88","36.10"
"2020-11-02","F107P4UT","Lenovo UK Direct","10667","547","320.04"
"2020-11-02","X0006AXW","Bing Lenovo NL","1513","113","58.86"
"2020-11-02","X000XGAU","Bing Lenovo DK","489","45","8.10"
"2020-11-02","X7004130","Lenovo Austria Direct","1796","113","24.48"
"2020-11-02","X8349003","Lenovo France Direct","11052","822","598.28"
"2020-11-03","B004295N","Lenovo Belgium","586","116","109.57"
"2020-11-03","B004ETLE","Lenovo Italy","3599","399","117.84"
"2020-11-03","B004SUHL","Lenovo Norway","245","34","5.06"
"2020-11-03","B004V7BM","Lenovo Spain","9509","775","325.29"
"2020-11-03","F1071RW6","Lenovo Switzerland Direct","1789","119","74.29"
"2020-11-03","F1074ELB","Lenovo Finland Direct","291","23","4.21"
"2020-11-03","F107DTZT","Lenovo Sweden Direct","1395","79","28.42"
"2020-11-03","F107MVC9","Lenovo Ireland Direct","1068","102","32.84"
"2020-11-03","F107P4UT","Lenovo UK Direct","10039","558","325.23"
"2020-11-03","X0006AXW","Bing Lenovo NL","1448","96","57.91"
"2020-11-03","X000XGAU","Bing Lenovo DK","382","44","7.81"
"2020-11-03","X7004130","Lenovo Austria Direct","2091","117","26.31"
"2020-11-03","X7356537","Lenovo Germany Direct","7695","635","596.90"
"2020-11-03","X8349003","Lenovo France Direct","10998","800","569.30"
"2020-11-04","B004295N","Lenovo Belgium","515","101","91.27"
"2020-11-04","B004ETLE","Lenovo Italy","4150","437","150.17"
"2020-11-04","B004SUHL","Lenovo Norway","205","18","2.66"
"2020-11-04","B004V7BM","Lenovo Spain","11239","841","376.96"
"2020-11-04","F1071RW6","Lenovo Switzerland Direct","1868","103","70.24"
"2020-11-04","F1074ELB","Lenovo Finland Direct","278","25","3.02"
"2020-11-04","F107DTZT","Lenovo Sweden Direct","1239","72","23.02"
"2020-11-04","F107MVC9","Lenovo Ireland Direct","922","77","13.87"
"2020-11-04","F107P4UT","Lenovo UK Direct","8749","508","304.41"
"2020-11-04","X0006AXW","Bing Lenovo NL","1356","106","63.02"
"2020-11-04","X000XGAU","Bing Lenovo DK","342","43","18.04"
"2020-11-04","X7004130","Lenovo Austria Direct","1906","125","30.79"
"2020-11-04","X7356537","Lenovo Germany Direct","7930","655","622.31"
"2020-11-04","X8349003","Lenovo France Direct","11755","810","563.78"
"2020-11-05","B004295N","Lenovo Belgium","526","106","95.85"
"2020-11-05","B004ETLE","Lenovo Italy","4324","457","150.38"
"2020-11-05","B004SUHL","Lenovo Norway","239","29","4.06"
"2020-11-05","B004V7BM","Lenovo Spain","11600","900","403.87"
"2020-11-05","F1071RW6","Lenovo Switzerland Direct","1854","126","84.30"
"2020-11-05","F1074ELB","Lenovo Finland Direct","258","25","3.61"
"2020-11-05","F107DTZT","Lenovo Sweden Direct","1373","90","37.99"
"2020-11-05","F107MVC9","Lenovo Ireland Direct","912","77","30.98"
"2020-11-05","F107P4UT","Lenovo UK Direct","11443","525","339.96"
"2020-11-05","X0006AXW","Bing Lenovo NL","1454","100","59.46"
"2020-11-05","X000XGAU","Bing Lenovo DK","351","35","3.06"
"2020-11-05","X7004130","Lenovo Austria Direct","1666","91","27.71"
"2020-11-05","X7356537","Lenovo Germany Direct","7115","499","207.25"
"2020-11-05","X8349003","Lenovo France Direct","12187","849","582.73"
"2020-11-06","B004295N","Lenovo Belgium","463","91","89.90"
"2020-11-06","B004ETLE","Lenovo Italy","3964","388","120.05"
"2020-11-06","B004SUHL","Lenovo Norway","170","24","3.44"
"2020-11-06","B004V7BM","Lenovo Spain","7812","603","240.33"
"2020-11-06","F1071RW6","Lenovo Switzerland Direct","1444","84","53.18"
"2020-11-06","F1074ELB","Lenovo Finland Direct","171","17","2.01"
"2020-11-06","F107DTZT","Lenovo Sweden Direct","1230","77","30.72"
"2020-11-06","F107MVC9","Lenovo Ireland Direct","754","47","19.47"
"2020-11-06","F107P4UT","Lenovo UK Direct","10511","496","341.39"
"2020-11-06","X0006AXW","Bing Lenovo NL","1125","92","55.27"
"2020-11-06","X000XGAU","Bing Lenovo DK","280","36","6.55"
"2020-11-06","X7004130","Lenovo Austria Direct","1360","96","30.35"
"2020-11-06","X7356537","Lenovo Germany Direct","7267","521","233.59"
"2020-11-06","X8349003","Lenovo France Direct","11168","756","580.40"

"©2020 Microsoft Corporation. All rights reserved. "
